title,date,source,location,article_count,focus_count
巴萨球迷列6次抢劫式误判：皇马进球越位+犯规，红牌不判手球不判,2025-05-12 10:18:10　,直播吧,福建,1149286,689556
六台主持人：阿隆索将与三位新援一起加盟皇马，参加世俱杯,2025-05-12 10:18:10　,直播吧,福建,1149286,689556
龙赛罗：这场失利令我心痛，安切洛蒂应有一个更加辉煌的联赛结局,2025-05-12 10:08:15　,直播吧,福建,1149286,689556
科尔：你没法防爱德华兹的压哨后仰三分，但可以在可控的方面做更好,2025-05-12 10:08:18　,懂球帝,北京,259341,29410
打完全运会资格赛后，王妍雯、吴澄舒再回法国为第戎征战,2025-05-12 10:08:17　,懂球帝,北京,259341,29410
皇马本赛季输球场次已来到13场，为安切洛蒂任期最多,2025-05-12 10:08:17　,懂球帝,北京,259341,29410
半场落后41分！季后赛半场两次最大分差均骑士 历史前四独占3席,2025-05-12 10:06:25　,醉卧浮生,江西,16953,17981
名嘴：库明加毫无防守意识 能让某些球队相信他有价值就是胜利,2025-05-12 09:57:18　,直播吧,福建,1149286,689556
找谁说理去啊姆巴佩加盟前，皇马四杀巴萨，加盟首赛季遭四杀,2025-05-12 09:57:18　,直播吧,福建,1149286,689556
足球报：弋腾至亲赛前去世，教练组征询意愿其想在场上拼尽全力,2025-05-12 09:57:18　,直播吧,福建,1149286,689556
嘲讽拉满！利物浦球迷举旗：阿尔特塔伴娘服，总是伴娘从不是新娘,2025-05-12 09:57:18　,直播吧,福建,1149286,689556
刘诚宇：赛前于汉超跟我讲过，在没踢开之前要更多地拼抢前插,2025-05-12 09:57:11　,懂球帝,北京,259341,29410
科尔：不能再指望库明加和巴特勒合砍63分；该让巴特勒多歇一会儿,2025-05-12 09:57:11　,懂球帝,北京,259341,29410
蒙扎本轮2-1获胜已拿到18分，避免创造意甲20队时代最低分纪录,2025-05-12 09:46:14　,直播吧,福建,1149286,689556
步行者半场领先骑士41分 追平骑士17年创造的季后赛半场分差纪录,2025-05-12 09:46:14　,直播吧,福建,1149286,689556
杜克大学天才退出NBA选秀，选择留校再战NCAA,2025-05-12 09:38:07　,仰卧撑FTUer,江西,14598,5343
完全失去准星！亨特半场4中0仅拿5分2板 3次犯规,2025-05-12 09:35:15　,直播吧,福建,1149286,689556
琼阿梅尼手球VAR音频：手臂下垂不是点球 没有更多更好的机位,2025-05-12 09:35:16　,直播吧,福建,1149286,689556
这差距没见过！步行者半场送出25次助攻&骑士仅有3次,2025-05-12 09:35:15　,直播吧,福建,1149286,689556
外线神准！特纳半场三分4中4轰下18分5板2助 次节独得13分,2025-05-12 09:35:16　,直播吧,福建,1149286,689556
新狼王登基，爱德华兹超越加内特升至队史季后赛胜场数第一名,2025-05-12 09:35:09　,懂球帝,北京,259341,29410
母亲节骂这么狠帕金斯：骑士球员们 你妈在看比赛呢,2025-05-12 09:35:15　,直播吧,福建,1149286,689556
阿隆索：为过去三年取得的成就感到自豪，勒沃库森永在心中,2025-05-12 09:35:15　,直播吧,福建,1149286,689556
步行者半场80-39领先骑士41分，骑士全队仅有8粒进球入账,2025-05-12 09:35:09　,懂球帝,北京,259341,29410
游刃有余！麦康纳半场9分钟4中2贡献4分5助 正负值+14,2025-05-12 09:35:06　,直播吧,福建,1149286,689556
替补攻坚兵！托平出战15分钟贡献13分 另有3篮板2助攻！,2025-05-12 09:35:07　,直播吧,福建,1149286,689556
西亚卡姆上半场6中5&三分2中2攻下12分3板3助 正负值+36全场最高,2025-05-12 09:27:37　,直播吧,福建,1149286,689556
科尔：不能指望巴特勒和库明加合砍63分的情况会再次出现,2025-05-12 09:27:37　,直播吧,福建,1149286,689556
梦游！莫布里半场三分3中1拿到3分2板出现2失误 正负值低至-34,2025-05-12 09:27:37　,直播吧,福建,1149286,689556
津媒：泰达足球场首次启用的“飞猫索道拍摄系统” 提升观赏性,2025-05-12 09:27:37　,直播吧,福建,1149286,689556
骑士上半场出现14次失误 比步行者多10次 首发五虎各两次,2025-05-12 09:27:36　,直播吧,福建,1149286,689556
波特：对曼联万-比萨卡踢出职业生涯最佳表现，他在享受足球,2025-05-12 09:25:16　,懂球帝,北京,259341,29410
马卡：罗德里戈称自己无法参加国家德比，疑似对皇马产生不满情绪,2025-05-12 09:15:13　,直播吧,福建,1149286,689556
7分领跑+西甲双杀皇马！巴萨最快周四夺冠，皇马先赛若不胜将送冠,2025-05-12 09:15:13　,直播吧,福建,1149286,689556
钟义浩：生活不可能像你想的那么好，但也不会像你想的那么糟,2025-05-12 09:14:10　,懂球帝,北京,259341,29410
马卡：在看费尔明进球是否有手球时，VAR室内有人说谢天谢地,2025-05-12 09:14:10　,懂球帝,北京,259341,29410
约基奇在掘金与雷霆虽然命中率低下，但总体数据亮眼,2025-05-12 09:06:09　,仰卧撑FTUer,江西,14598,5343
Stein：乌布雷庄神戈登都将执行选项回76人 球队还想续约亚布塞莱,2025-05-12 09:04:14　,直播吧,福建,1149286,689556
沙特媒体：拉波尔特可能与利雅得胜利提前解约，马赛等队对其有意,2025-05-12 09:04:14　,直播吧,福建,1149286,689556
博格巴点赞：火力全开 本泽马梅开二度社媒晒庆祝照：9☝,2025-05-12 09:04:04　,直播吧,福建,1149286,689556
踢球者：药厂更想将维尔茨送到国外而非拜仁，皇马可能加入争夺,2025-05-12 09:04:02　,直播吧,福建,1149286,689556
差距太大！首节步行者26中14&命中率53.8% 骑士15中4&命中率26.7%,2025-05-12 08:53:13　,直播吧,福建,1149286,689556
泽林斯基：我要在赛季最后展示出最好的自己 希望那不勒斯会犯错,2025-05-12 08:53:13　,直播吧,福建,1149286,689556
因国家德比表现不佳，巴斯克斯社媒评论区遭球迷围攻：请离开,2025-05-12 08:53:12　,懂球帝,北京,259341,29410
巴特勒激励全队：如果我们不能赢，也就不用担心库里是否回归了,2025-05-12 08:53:12　,懂球帝,北京,259341,29410
马瑟林击打亨特吃到二级恶意驱逐！亨特推飞前者吃T！特纳出头吃T,2025-05-12 08:45:13　,直播吧,福建,1149286,689556
亚马尔社媒庆祝国家德比胜利，拉什福德留言：年轻的国王,2025-05-12 08:44:47　,直播吧,福建,1149286,689556
都灵vs国米比赛被中断几分钟，因球迷从看台摔下砸伤下方3名球迷,2025-05-12 08:44:47　,直播吧,福建,1149286,689556
记者：乌布雷、德拉蒙德和埃里克-戈登预计将执行球员选项,2025-05-12 08:42:09　,懂球帝,北京,259341,29410
安德森谈客胜津门虎：要表扬我们的球员，整体战术执行得很好,2025-05-12 08:34:33　,懂球帝,北京,259341,29410
埃里克-加西亚：我们马上就要拿到联赛冠军了，伙计们继续加油！,2025-05-12 08:32:09　,直播吧,福建,1149286,689556
不想踢欧冠？森林近7轮仅胜欧联双雄&丢了13分，从第3暴跌第7,2025-05-12 08:32:09　,直播吧,福建,1149286,689556
阿尔卡拉斯直落两盘击败杰雷，生涯首次打进罗马大师赛16强,2025-05-12 08:25:01　,直播吧,福建,1149286,689556
今天能拿多少分？米切尔季后赛连续两场40+ 队史比肩詹姆斯,2025-05-12 08:21:21　,直播吧,福建,1149286,689556
略处下风，雷霆G4罚球26中20，掘金36中26,2025-05-12 08:21:11　,懂球帝,北京,259341,29410
杨旭现场观战铁人：看球比踢球紧张，铁人已经接过辽足的大旗,2025-05-12 08:21:11　,懂球帝,北京,259341,29410
巴萨锁定西甲冠军！7分领先皇马，最快4天后夺冠，德比战或加冕,2025-05-12 00:20:15　,奥拜尔,山东,8761,6828
比拉吉：国米是世界最强球队之一 都灵要想参加欧战仍需继续进步,2025-05-12 08:10:13　,直播吧,福建,1149286,689556
皇马首秀赛季打进39球！姆巴佩当选UNFP最佳海外法国球员,2025-05-12 08:10:13　,直播吧,福建,1149286,689556
六台主持人：安切洛蒂将在皇马的致敬下离开，并与巴西签约两年,2025-05-12 08:10:13　,直播吧,福建,1149286,689556
段暄出来了？行贿950万或只判2年！大概率立功减刑：交代刘爱杰案,2025-05-12 07:56:32　,念洲,山东,5552,4154
斯基拉：四队有意尤文右后卫科斯塔，但球员想留队当主力,2025-05-12 08:00:07　,懂球帝,北京,259341,29410
努诺：欧冠资格曾掌握在我们手中，但现在不再是这样了,2025-05-12 08:00:07　,直播吧,福建,1149286,689556
21球领跑法甲射手榜，登贝莱当选UNFP本赛季法甲赛季最佳球员,2025-05-12 08:00:07　,直播吧,福建,1149286,689556
斯基拉：小西蒙尼准备夏窗离开那不勒斯，两支意甲球队有意,2025-05-12 07:49:08　,直播吧,福建,1149286,689556
本赛季西甲榜首次数：巴萨25次领跑，皇马8次，马竞和塞尔塔各1次,2025-05-12 07:49:08　,直播吧,福建,1149286,689556
本世纪西甲积分榜：巴萨2068分升至首位，皇马2067分次席,2025-05-12 07:49:08　,直播吧,福建,1149286,689556
卡拉格：球迷认为效力利物浦是至高无上的荣誉，尤其是对于阿诺德,2025-05-12 07:49:08　,直播吧,福建,1149286,689556
库库：如果我们想实现目标，我们需要展示在压力下比赛的能力,2025-05-12 07:49:06　,懂球帝,北京,259341,29410
登贝莱关注西班牙国家德比，他理发时还在看这场比赛的直播,2025-05-12 07:40:03　,直播吧,福建,1149286,689556
斯洛特：阿诺德是世界级的边后卫，离开对他来说是一个困难的决定,2025-05-12 07:38:16　,直播吧,福建,1149286,689556
打铁大战！雷霆掘金G4双方总命中率33.5% 季后赛历史第七低,2025-05-12 07:38:16　,直播吧,福建,1149286,689556
记者：瓜迪奥拉很欣赏尤文的尼科洛-萨沃纳，曼城已派球探去考察,2025-05-12 07:38:16　,直播吧,福建,1149286,689556
罗竞：战胜泰山给了我们信心，教练告诉我们一如既往力拼对手,2025-05-12 07:38:12　,懂球帝,北京,259341,29410
